"t","x","y","z"
2.190071250E0,8.816965027E0,-3.471281433E-1,4.281247101E0
2.200147250E0,8.782985687E0,-4.176315308E-1,4.343218231E0
2.210224250E0,8.802445221E0,-5.177732849E-1,4.363426208E0
2.220300250E0,8.863069153E0,-6.270460510E-1,4.281995544E0
2.230376250E0,8.883726196E0,-7.364685059E-1,4.183949432E0
2.240453250E0,8.889114990E0,-8.264314270E-1,4.138593750E0
2.250529250E0,8.876690826E0,-9.092092896E-1,4.139491882E0
2.260605250E0,8.836873627E0,-9.370513916E-1,4.165238342E0
2.270682250E0,8.794960785E0,-9.285191345E-1,4.204905853E0
2.280758250E0,8.788075104E0,-8.927435303E-1,4.195325775E0
2.290834250E0,8.801846466E0,-8.485853577E-1,4.168232117E0
2.300911250E0,8.838370514E0,-8.300239563E-1,4.156257019E0
2.310987250E0,8.859925690E0,-8.041278076E-1,4.146078186E0
2.321063250E0,8.866212616E0,-8.174501038E-1,4.176015930E0
2.331140250E0,8.856482849E0,-8.220904541E-1,4.209845581E0
2.341216250E0,8.830437012E0,-7.970924377E-1,4.242926788E0
2.351292250E0,8.790919189E0,-7.634124756E-1,4.284989319E0
2.361368250E0,8.745862885E0,-7.343728638E-1,4.299958191E0
2.371445250E0,8.703800354E0,-7.228468323E-1,4.308191071E0
2.381521250E0,8.670719147E0,-7.057823181E-1,4.337230682E0
2.391598250E0,8.705297241E0,-7.226971436E-1,4.356390839E0
2.401674250E0,8.794511719E0,-7.015910339E-1,4.350552979E0
2.411750250E0,8.856183472E0,-6.439608765E-1,4.331991577E0
2.421826250E0,8.866062927E0,-6.134243774E-1,4.353846130E0
2.431903250E0,8.806037750E0,-6.078858948E-1,4.378694458E0
2.441979250E0,8.756341095E0,-5.815406799E-1,4.372257843E0
2.452055250E0,8.715775452E0,-5.387297058E-1,4.326453094E0
2.462132250E0,8.712631989E0,-5.014572144E-1,4.278403015E0
2.472208250E0,8.767867126E0,-4.628375244E-1,4.244124298E0
2.482284250E0,8.855734406E0,-4.073030090E-1,4.208348694E0
2.492361250E0,8.931925964E0,-3.647914124E-1,4.204756165E0
2.502437250E0,8.952133942E0,-3.375480652E-1,4.208797760E0
2.512513250E0,8.912616119E0,-3.722758484E-1,4.192032623E0
2.522590250E0,8.830287323E0,-4.725672913E-1,4.217180328E0
2.532666250E0,8.738827515E0,-6.080355835E-1,4.249513092E0
2.542742250E0,8.698112183E0,-7.107220459E-1,4.262685699E0
2.552819250E0,8.700507202E0,-7.640112305E-1,4.263434143E0
2.562895250E0,8.739276581E0,-8.000862122E-1,4.276906128E0
2.572971250E0,8.777297516E0,-8.057743835E-1,4.299359436E0
2.583048250E0,8.804391174E0,-8.066725159E-1,4.315376129E0
