"t","x","y","z"
1.872667250E0,-3.823870420E-2,-2.895070799E-2,-1.609786600E-2
1.882743250E0,-2.547949925E-2,-2.664600872E-2,-1.508400030E-2
1.892820250E0,-1.049716026E-2,-3.211719915E-2,-3.012094414E-3
1.902896250E0,5.603246856E-3,-3.435505554E-2,6.039191037E-3
1.912972250E0,1.969959959E-2,-3.402150422E-2,1.601090468E-2
1.923049250E0,2.994424850E-2,-2.914259210E-2,2.151166275E-2
1.933125250E0,3.279385716E-2,-2.417432144E-2,2.730426565E-2
1.943201250E0,3.499442711E-2,-2.281584404E-2,3.151978552E-2
1.953277250E0,3.245850652E-2,-2.200683020E-2,2.602159604E-2
1.963354250E0,2.733058669E-2,-1.269988250E-2,2.698033303E-2
1.973430250E0,2.619128861E-2,-2.942592371E-3,2.631614357E-2
1.983506250E0,2.507276088E-2,9.752962738E-3,2.127477899E-2
1.993583250E0,1.862143539E-2,1.589641161E-2,1.841875352E-2
2.003659250E0,1.388154179E-2,1.876596734E-2,1.822301187E-2
2.013735250E0,8.917113766E-3,2.106156573E-2,1.741696894E-2
2.023812250E0,1.114964113E-2,2.720467933E-2,1.380572282E-2
2.033888250E0,8.100152947E-3,3.275084868E-2,1.327938028E-2
2.043964250E0,7.296943106E-3,3.622946888E-2,1.458379626E-2
2.054041250E0,4.544965457E-3,4.141646251E-2,2.298204415E-2
2.064117250E0,8.798832074E-3,4.455206543E-2,2.404597774E-2
2.074193250E0,4.057146609E-3,4.359305277E-2,3.076826595E-2
2.084270250E0,5.090985447E-3,3.724088147E-2,3.336218745E-2
2.094346250E0,1.082094572E-2,4.248690978E-2,3.558443114E-2
2.104422250E0,1.949166693E-2,5.551429465E-2,3.455591947E-2
2.114499250E0,2.019827999E-2,5.845112354E-2,2.931496315E-2
2.124575250E0,1.861582883E-2,6.179525331E-2,2.383151464E-2
2.134651250E0,1.495584659E-2,5.841410533E-2,1.929561980E-2
2.144728250E0,5.686448421E-3,5.453893915E-2,1.091438532E-2
2.154804250E0,-7.135258988E-3,4.952396825E-2,-8.596084081E-4
2.164880250E0,-1.174971834E-2,4.593882337E-2,-1.087975129E-2
2.174957250E0,-2.924395166E-2,3.811817616E-2,-2.011405863E-2
2.185033250E0,-4.028728232E-2,2.897847444E-2,-2.358921617E-2
2.195109250E0,-4.874861613E-2,1.850901358E-2,-2.555806004E-2
2.205186250E0,-4.837390780E-2,1.122766547E-2,-1.942746341E-2
2.215262250E0,-4.307812825E-2,4.270887934E-3,-1.518579572E-2
2.225338250E0,-3.553898633E-2,1.068969141E-3,-6.364074070E-3
2.235414250E0,-3.167308867E-2,7.983620279E-3,-1.506280620E-3
2.245491250E0,-2.069127932E-2,9.303748608E-3,1.051685307E-3
2.255567250E0,-8.932650089E-3,1.837273315E-2,7.075794972E-3
2.265643250E0,7.746194489E-3,2.195495181E-2,1.023030933E-2
2.275720250E0,1.909438521E-2,1.959193684E-2,1.756498404E-2
2.285796250E0,3.151670098E-2,1.934799179E-2,2.401196398E-2
2.295872250E0,3.866299987E-2,2.326509170E-2,3.344438970E-2
2.305949250E0,4.428520054E-2,2.556153573E-2,3.490646556E-2
2.316025250E0,5.015446991E-2,2.439544164E-2,3.636812419E-2
2.326101250E0,5.151214823E-2,2.709268965E-2,3.667944670E-2
2.336178250E0,5.423931032E-2,3.283882886E-2,3.714096919E-2
2.346254250E0,5.771020800E-2,3.972283378E-2,3.993462771E-2
2.356330250E0,5.584865808E-2,3.537602350E-2,3.998149931E-2
2.366407250E0,5.544412509E-2,3.667111695E-2,3.757586330E-2
2.376483250E0,5.452907085E-2,3.213339299E-2,3.647481650E-2
